Student_ID,Age,Gender,University_Year,Sleep_Duration,Study_Hours,Screen_Time,Caffeine_Intake,Physical_Activity,Sleep_Quality,Weekday_Sleep_Start,Weekend_Sleep_Start,Weekday_Sleep_End,Weekend_Sleep_End,Academic_Score,Performance_Level
17,21,Female,3rd Year,4.7,8.9,3.8,3,35,7,8.09,6.76,7.44,9.65,44.17960088691796,Moderate
18,25,Other,3rd Year,6.1,5.1,1.7,3,17,10,14.71,6.37,5.1,7.47,31.92904656319291,Low
19,25,Female,1st Year,4.4,4.2,1.4,0,2,10,13.79,16.48,5.47,8.61,23.447893569844794,Low
20,20,Other,3rd Year,9.0,4.5,1.6,0,27,2,18.67,17.92,5.51,10.17,24.556541019955656,Low
21,23,Other,3rd Year,6.5,11.9,3.7,3,69,9,16.58,21.66,5.76,7.88,73.059866962306,High
22,22,Female,4th Year,7.0,0.5,2.9,1,107,1,9.29,8.42,6.84,7.74,57.095343680709554,Moderate
23,19,Female,3rd Year,4.3,10.4,1.9,2,43,10,12.9,20.47,8.01,10.8,58.536585365853675,Moderate
24,25,Female,3rd Year,7.7,6.9,3.4,0,20,6,5.74,13.58,8.62,7.84,31.651884700665196,Low
25,21,Male,2nd Year,5.0,5.3,3.6,1,27,9,4.1,9.97,8.34,8.04,36.308203991130824,Low
26,23,Male,4th Year,8.5,8.7,3.5,4,103,1,10.63,3.26,5.79,10.88,71.06430155210643,High
27,23,Male,4th Year,5.0,5.8,3.8,0,53,4,6.08,15.76,6.76,9.94,43.95787139689579,Moderate
28,19,Other,4th Year,5.0,10.5,1.8,1,53,4,15.56,17.0,5.8,9.8,54.93348115299336,Moderate
29,25,Female,4th Year,4.2,10.8,3.3,1,64,9,13.29,8.92,6.06,10.41,69.17960088691797,Moderate
30,21,Other,4th Year,6.4,5.1,2.4,2,99,5,7.03,9.62,7.01,7.46,69.23503325942352,Moderate
31,22,Male,4th Year,6.8,3.3,3.5,2,20,5,13.89,15.36,5.27,9.82,20.842572062084262,Low
32,18,Female,1st Year,4.3,7.1,3.2,4,106,6,9.64,3.44,5.87,9.01,77.66075388026609,High
33,21,Other,3rd Year,7.9,10.9,3.3,1,98,1,18.11,5.1,8.74,10.32,74.94456762749446,High
34,19,Female,4th Year,6.3,2.5,3.0,5,12,1,9.4,17.52,6.86,9.03,6.596452328159648,Low
35,23,Other,3rd Year,6.6,7.5,1.5,1,56,9,3.91,17.22,6.78,9.48,58.42572062084258,Moderate
36,22,Female,3rd Year,6.2,7.6,2.6,2,48,3,3.76,11.75,5.06,8.91,43.0709534368071,Moderate
37,21,Male,1st Year,6.0,8.8,4.0,5,117,4,6.79,6.53,5.99,8.91,83.20399113082043,High
38,18,Male,4th Year,6.8,1.6,3.8,0,53,1,6.34,21.12,8.47,10.07,29.656319290465643,Low
39,18,Female,2nd Year,4.8,8.6,1.1,0,9,9,10.28,8.13,5.66,9.51,35.58758314855876,Low
40,20,Other,1st Year,4.9,10.9,1.5,3,52,8,9.72,9.04,6.66,9.53,60.97560975609756,Moderate
41,20,Male,2nd Year,8.3,2.2,1.4,2,43,2,19.19,17.37,5.06,8.8,27.328159645232812,Low
42,24,Male,3rd Year,8.7,2.9,3.2,3,46,8,12.68,8.37,6.91,9.12,38.968957871396896,Low
43,19,Male,3rd Year,5.9,11.7,3.5,5,52,7,12.53,3.2,5.08,9.98,58.86917960088692,Moderate
44,25,Female,1st Year,5.4,2.2,1.6,2,73,6,1.87,21.06,8.28,10.3,50.498891352549904,Moderate
45,21,Female,1st Year,7.2,10.3,2.5,4,45,1,12.95,15.61,8.3,9.79,43.01552106430155,Moderate
46,21,Other,2nd Year,6.0,5.9,3.5,1,12,7,10.46,13.24,8.15,10.7,26.053215077605334,Low
47,25,Other,4th Year,4.1,3.0,3.2,4,36,10,10.8,4.01,6.13,10.28,36.41906873614191,Low
48,24,Other,2nd Year,4.8,10.4,2.6,5,101,7,8.63,2.75,8.35,9.25,83.64745011086474,High
49,23,Female,1st Year,7.6,5.3,2.8,2,23,9,6.29,13.12,7.17,9.69,33.98004434589801,Low
50,23,Female,2nd Year,7.3,6.2,2.5,5,1,1,17.27,7.0,6.5,10.71,8.980044345898008,Low
51,24,Other,1st Year,4.1,4.3,1.9,1,85,2,10.9,11.37,7.5,9.48,55.543237250554334,Moderate
52,23,Other,2nd Year,5.1,7.1,2.7,0,80,9,4.66,11.24,5.05,10.3,70.73170731707317,High
53,20,Female,1st Year,5.2,2.0,3.1,0,99,9,12.27,16.44,5.57,9.76,69.73392461197339,Moderate
54,21,Other,1st Year,7.4,4.7,3.6,5,13,6,16.15,17.66,7.97,9.21,20.011086474501106,Low
55,24,Male,1st Year,4.1,11.6,2.9,3,9,6,8.25,16.24,5.98,7.97,34.589800443458984,Low
56,21,Female,4th Year,4.5,3.1,3.3,2,34,4,4.7,10.87,7.39,8.7,26.607538802660756,Low
57,25,Other,2nd Year,8.0,7.9,1.5,2,24,4,20.67,21.42,6.54,10.87,32.705099778270515,Low
58,18,Female,2nd Year,4.9,3.9,2.4,0,2,5,5.69,3.86,8.42,9.63,13.913525498891358,Low
59,20,Male,2nd Year,7.3,9.3,1.0,4,110,3,4.75,18.87,8.81,9.26,80.98669623059868,High
60,22,Female,1st Year,5.2,1.6,1.7,1,101,1,12.31,17.6,8.53,10.73,56.87361419068737,Moderate
61,20,Female,2nd Year,4.5,11.6,3.2,4,16,1,1.35,11.63,6.08,9.35,29.434589800443455,Low
62,24,Female,2nd Year,5.2,5.4,4.0,4,11,7,5.48,7.8,5.78,9.1,22.450110864745007,Low
63,22,Female,1st Year,7.6,2.8,1.3,5,53,1,5.75,20.09,6.9,10.04,30.931263858093132,Low
64,18,Male,3rd Year,8.3,0.9,2.2,0,115,1,6.3,15.65,5.03,9.85,63.35920177383593,Moderate
65,24,Female,1st Year,8.2,2.0,3.4,0,23,3,18.84,2.63,5.1,7.77,17.461197339246123,Low
66,19,Female,2nd Year,6.0,6.2,1.6,0,28,10,17.44,16.75,7.21,8.89,42.184035476718414,Moderate
67,21,Other,1st Year,7.3,4.0,2.7,5,42,4,12.26,15.74,7.08,8.89,31.70731707317074,Low
68,18,Female,3rd Year,5.0,9.9,3.2,3,24,4,16.46,5.27,8.98,8.51,35.64301552106431,Low
69,21,Other,1st Year,5.5,5.2,2.8,4,99,2,13.28,21.0,5.81,9.07,63.13747228381376,Moderate
70,23,Male,2nd Year,8.5,3.0,1.6,5,59,1,3.34,12.71,6.03,8.65,34.53436807095344,Low
71,19,Male,3rd Year,4.1,7.4,2.1,2,89,3,4.69,14.41,5.45,7.8,65.63192904656322,Moderate
72,19,Male,4th Year,4.4,8.5,3.4,1,101,4,8.77,15.67,8.67,8.65,76.21951219512198,High
73,18,Male,2nd Year,5.0,2.0,2.7,3,64,3,3.98,16.29,8.11,7.29,38.91352549889135,Low
74,19,Other,3rd Year,4.1,2.0,1.0,2,83,8,5.54,20.17,8.29,9.3,59.25720620842573,Moderate
75,22,Female,3rd Year,4.9,0.4,3.3,4,118,10,12.99,15.7,8.61,10.41,76.05321507760533,High
76,19,Male,4th Year,6.9,8.8,1.1,0,27,1,17.78,21.14,7.1,9.9,32.705099778270515,Low
77,21,Female,1st Year,6.1,8.0,3.2,4,15,2,11.2,6.38,6.8,8.44,22.560975609756103,Low
78,21,Other,1st Year,8.5,5.7,1.6,5,46,7,6.54,14.04,6.32,7.35,43.29268292682927,Moderate
79,24,Other,2nd Year,8.1,10.1,3.9,1,80,4,12.84,13.12,7.36,7.81,67.84922394678493,Moderate
80,21,Other,4th Year,5.7,9.7,2.1,5,103,8,8.0,4.13,6.82,9.18,85.1441241685144,High
81,24,Male,1st Year,5.3,7.0,2.0,3,91,3,20.02,8.84,6.81,7.83,65.3547671840355,Moderate
82,21,Female,4th Year,5.9,10.4,1.4,3,57,6,6.29,21.84,8.75,9.18,59.3680709534368,Moderate
83,22,Female,1st Year,7.0,2.5,1.9,1,75,9,4.93,3.14,8.94,7.93,57.64966740576497,Moderate
84,25,Female,3rd Year,5.3,1.3,3.6,2,26,1,7.16,17.26,8.19,10.4,13.026607538802661,Low
85,24,Other,1st Year,7.1,3.2,4.0,2,117,1,1.69,19.85,8.03,8.59,67.46119733924614,Moderate
86,20,Male,4th Year,6.0,0.7,2.1,3,52,8,4.64,6.64,7.72,7.98,38.026607538802665,Low
87,23,Other,3rd Year,6.8,6.4,2.3,3,41,3,3.04,11.99,5.66,10.25,36.1419068736142,Low
88,18,Other,3rd Year,6.2,11.2,3.2,0,58,5,2.4,13.32,5.24,8.37,60.69844789356985,Moderate
89,21,Female,3rd Year,5.5,0.5,3.7,2,46,1,5.17,17.01,7.76,7.45,22.283813747228383,Low
90,19,Other,4th Year,8.7,1.5,2.8,1,93,5,7.84,11.05,7.92,9.28,58.259423503325955,Moderate
91,25,Female,2nd Year,7.8,5.4,2.2,2,104,6,21.88,16.51,5.19,9.33,74.44567627494457,High
92,21,Male,2nd Year,4.7,11.2,2.2,0,33,8,12.22,3.97,8.71,9.86,52.38359201773836,Moderate
93,19,Female,2nd Year,8.3,3.8,3.1,5,36,3,10.01,17.7,5.36,7.96,26.05321507760532,Low
94,23,Male,4th Year,6.4,6.1,1.0,3,5,3,15.62,4.31,6.14,8.78,16.24168514412417,Low
95,23,Female,3rd Year,8.5,0.5,2.9,3,6,10,15.32,10.81,7.69,8.13,14.966740576496676,Low
96,23,Other,2nd Year,8.0,1.8,2.1,0,95,9,1.82,5.43,5.68,7.32,67.62749445676275,Moderate
97,19,Other,4th Year,6.1,11.8,3.4,1,95,4,3.27,7.74,5.22,10.51,80.21064301552107,High
98,21,Male,2nd Year,4.1,11.6,1.3,3,116,4,4.17,8.07,6.32,9.92,91.46341463414635,High
99,23,Male,1st Year,5.3,0.1,2.8,4,24,7,13.47,15.51,8.06,8.21,18.56984478935699,Low
100,22,Male,2nd Year,6.7,11.4,2.4,3,32,2,21.71,17.32,6.65,9.4,40.52106430155211,Moderate
101,24,Female,2nd Year,7.2,7.7,2.9,4,54,8,20.32,17.78,7.61,7.81,53.658536585365866,Moderate
102,19,Female,3rd Year,5.3,10.4,1.2,0,57,6,15.44,4.86,7.32,10.56,61.141906873614204,Moderate
103,19,Male,4th Year,4.7,5.5,2.7,0,6,3,21.67,5.59,5.09,7.46,16.18625277161863,Low
104,21,Other,3rd Year,8.2,6.2,2.7,3,115,9,21.64,13.19,8.95,7.02,86.47450110864744,High
105,19,Female,3rd Year,8.9,5.9,2.7,2,56,5,2.75,19.35,5.17,9.01,47.00665188470068,Moderate
106,19,Female,3rd Year,6.6,8.0,2.8,4,11,8,7.17,14.35,8.87,9.33,30.543237250554316,Low
107,23,Female,3rd Year,4.9,1.7,3.0,1,15,7,15.51,9.61,7.2,9.32,18.680709534368077,Low
108,21,Male,3rd Year,5.4,0.4,3.4,3,79,8,19.21,12.91,8.85,7.22,51.607538802660756,Moderate
109,23,Male,2nd Year,4.1,3.7,1.8,1,42,7,11.26,6.4,5.46,8.26,38.74722838137473,Low
110,24,Male,3rd Year,8.6,8.5,3.5,3,116,3,21.89,2.05,6.96,9.0,81.70731707317074,High
111,25,Male,3rd Year,4.6,2.4,2.5,2,99,2,2.29,18.18,5.68,7.87,58.20399113082041,Moderate
112,24,Male,4th Year,6.9,8.1,1.2,2,76,7,13.29,12.81,5.2,10.49,67.12860310421289,Moderate
113,25,Other,1st Year,5.4,11.6,1.2,2,6,3,13.55,13.38,7.47,7.35,29.434589800443455,Low
114,23,Other,2nd Year,6.8,1.1,2.0,5,99,3,13.8,15.91,5.83,8.95,55.59866962305987,Moderate
115,24,Male,2nd Year,7.3,8.1,3.4,2,110,2,20.54,18.04,7.35,9.77,76.44124168514413,High
116,21,Female,2nd Year,8.1,5.3,3.1,0,50,4,8.6,20.69,5.45,8.05,41.57427937915743,Moderate
117,18,Male,3rd Year,5.0,10.4,3.4,0,72,8,6.61,4.26,6.33,9.5,71.56319290465633,High
118,23,Other,3rd Year,4.1,2.1,2.6,5,31,1,7.8,13.6,8.13,10.32,16.463414634146346,Low
119,25,Other,3rd Year,4.7,8.3,2.3,4,74,1,19.09,12.06,6.75,7.76,54.76718403547671,Moderate
120,22,Female,4th Year,8.5,10.1,1.4,1,7,5,9.84,3.66,7.51,10.67,30.432372505543242,Low
121,25,Other,1st Year,8.4,11.3,2.0,3,96,5,10.04,6.47,7.59,9.21,80.98669623059868,High
122,22,Male,3rd Year,7.0,8.2,2.3,3,86,1,3.76,19.39,8.38,8.2,61.75166297117516,Moderate
123,19,Female,1st Year,7.0,6.0,1.3,5,88,6,14.04,10.69,6.3,8.72,65.74279379157429,Moderate
124,24,Male,4th Year,7.3,7.4,1.7,0,119,1,14.2,13.15,7.75,8.25,80.26607538802662,High
125,22,Male,2nd Year,4.9,10.4,2.8,3,71,5,9.01,6.06,8.85,9.9,64.68957871396897,Moderate
126,25,Female,3rd Year,8.6,6.8,3.2,0,44,9,8.71,7.52,7.92,10.19,49.83370288248337,Moderate
127,19,Male,1st Year,6.1,0.4,4.0,4,85,5,12.15,8.19,6.96,10.33,49.05764966740577,Moderate
128,18,Other,1st Year,5.9,11.2,3.8,1,58,6,12.7,15.19,7.52,10.94,61.47450110864745,Moderate
129,21,Male,3rd Year,6.6,8.3,2.9,4,3,8,11.62,5.9,7.96,10.17,26.718403547671844,Low
130,21,Female,2nd Year,4.2,8.1,2.3,5,103,1,3.92,20.95,7.45,9.41,69.84478935698448,Moderate
131,21,Female,2nd Year,4.8,2.6,2.9,2,66,2,12.32,18.81,5.07,8.36,40.13303769401331,Moderate
132,22,Female,2nd Year,7.7,7.9,3.4,2,28,9,2.26,15.29,5.78,9.18,42.184035476718414,Moderate
133,18,Male,4th Year,4.4,4.7,1.4,2,104,3,11.42,20.46,8.24,7.16,68.34811529933481,Moderate
134,22,Female,1st Year,7.0,7.8,2.2,4,28,6,2.07,17.3,6.09,9.98,36.529933481153,Low
135,24,Female,1st Year,5.2,1.3,3.5,3,97,5,4.51,5.4,7.93,8.78,58.53658536585367,Moderate
136,22,Male,1st Year,5.9,7.9,2.2,1,97,2,14.39,3.03,6.49,7.08,70.01108647450111,High
137,18,Other,4th Year,5.4,12.0,2.7,2,27,7,3.86,15.91,7.09,7.25,47.78270509977829,Moderate
138,18,Male,1st Year,5.8,0.6,2.8,5,76,4,19.69,16.71,5.27,8.55,42.960088691796024,Moderate
139,24,Female,4th Year,7.6,11.7,1.6,5,78,1,2.57,16.4,5.72,9.33,64.35698447893571,Moderate
140,18,Female,2nd Year,5.5,4.9,2.1,2,86,4,8.74,16.45,8.83,8.86,60.088691796008874,Moderate
141,25,Male,3rd Year,6.8,10.4,2.0,2,43,6,20.86,21.28,8.56,9.48,51.82926829268294,Moderate
142,18,Other,1st Year,6.4,9.4,1.1,1,89,7,8.47,3.46,7.61,8.92,77.82705099778272,High
143,21,Female,1st Year,7.3,6.8,1.1,2,3,7,1.54,17.73,6.84,9.65,23.835920177383592,Low
144,25,Female,2nd Year,8.7,8.9,3.5,1,89,7,20.53,13.6,7.7,7.88,75.38802660753882,High
145,25,Female,3rd Year,7.7,10.5,1.8,5,103,3,10.35,21.81,7.47,7.45,78.76940133037695,High
146,24,Male,4th Year,5.1,4.8,2.6,2,8,6,6.3,4.84,7.27,9.39,19.67849223946785,Low
147,20,Female,3rd Year,4.2,3.9,1.9,4,118,8,4.98,7.38,5.24,8.94,81.2638580931264,High
148,20,Other,2nd Year,5.3,8.0,3.8,4,4,4,13.31,3.06,7.53,7.11,19.45676274944568,Low
149,18,Female,2nd Year,7.0,9.7,1.8,5,55,8,17.71,6.37,8.08,8.52,58.70288248337029,Moderate
150,25,Female,3rd Year,4.3,9.1,2.3,1,95,2,21.11,15.73,8.98,7.42,71.50776053215078,High
151,20,Other,4th Year,6.5,9.6,3.6,4,83,10,9.83,17.04,5.04,9.13,76.88470066518848,High
152,20,Female,4th Year,7.0,5.2,3.5,1,49,9,12.49,8.05,7.92,8.58,48.33702882483371,Moderate
153,18,Male,1st Year,5.7,9.8,1.6,4,74,9,2.08,14.72,7.29,9.45,71.7849223946785,High
154,20,Male,4th Year,7.9,1.4,3.4,4,14,8,20.73,10.68,6.74,10.22,17.239467849223953,Low
155,22,Male,3rd Year,4.5,6.5,2.4,1,31,10,7.61,21.87,5.51,8.2,43.51441241685144,Moderate
156,19,Other,2nd Year,4.4,0.1,2.4,3,27,10,21.48,20.76,6.64,10.85,25.99778270509978,Low
157,24,Female,1st Year,7.6,3.9,1.4,4,21,1,18.4,11.29,6.42,9.14,16.130820399113084,Low
158,19,Male,1st Year,6.5,4.4,1.2,2,104,2,12.47,10.68,6.21,9.47,66.1308203991131,Moderate
159,18,Other,2nd Year,7.4,4.8,3.2,5,16,6,12.45,6.97,7.92,9.72,22.11751662971175,Low
160,21,Female,4th Year,6.2,8.3,2.5,3,58,10,7.6,19.36,7.8,9.67,61.308203991130824,Moderate
161,24,Other,2nd Year,5.2,4.7,2.3,1,89,5,2.89,11.74,7.36,9.04,63.41463414634148,Moderate
162,18,Male,4th Year,8.1,5.4,3.2,3,107,9,8.58,18.11,8.75,8.72,79.9889135254989,High
163,25,Male,2nd Year,8.0,2.9,3.3,0,70,5,1.98,20.14,6.4,7.22,48.89135254988914,Moderate
164,21,Male,3rd Year,7.5,4.5,1.5,0,105,2,3.49,13.79,5.98,7.09,67.84922394678493,Moderate
165,19,Other,4th Year,5.4,2.7,2.8,4,56,10,9.73,18.73,7.62,8.43,47.06208425720621,Moderate
166,18,Other,3rd Year,7.0,0.9,1.4,4,25,4,4.49,17.56,5.8,8.33,16.68514412416852,Low
167,25,Male,1st Year,5.8,7.2,3.3,2,24,9,8.51,15.65,6.26,8.55,38.47006651884701,Low
168,24,Other,2nd Year,4.5,8.0,3.0,5,9,1,20.35,16.81,5.9,7.55,17.128603104212864,Low
169,24,Male,1st Year,8.6,7.4,3.9,3,44,1,6.45,20.25,5.28,9.95,35.809312638580934,Low
170,23,Male,1st Year,4.7,5.6,1.2,0,82,7,20.01,20.2,8.31,10.43,66.01995565410202,Moderate
171,25,Female,1st Year,8.8,4.6,1.2,4,10,3,9.52,18.14,6.02,10.75,15.022172949002218,Low
172,22,Other,1st Year,6.2,10.4,1.8,5,76,10,7.24,20.99,6.89,8.97,75.2217294900222,High
173,20,Male,2nd Year,4.9,6.2,1.8,3,52,2,20.6,9.47,5.17,9.8,40.41019955654103,Moderate
174,21,Male,1st Year,6.7,5.8,1.7,4,71,9,17.15,16.25,7.8,10.42,61.19733924611974,Moderate
175,25,Other,2nd Year,8.4,0.3,3.7,4,103,3,2.77,16.41,6.32,8.67,55.65410199556542,Moderate
176,23,Female,2nd Year,7.7,4.1,1.7,0,67,2,9.06,15.36,7.98,8.24,45.787139689578716,Moderate
177,20,Female,3rd Year,8.0,4.6,1.8,0,110,8,16.83,8.74,6.65,10.75,80.65410199556541,High
178,20,Male,4th Year,7.3,4.8,3.3,4,94,10,7.5,4.59,5.78,9.06,72.50554323725056,High
179,18,Other,4th Year,7.5,7.0,2.3,1,27,6,9.47,6.82,7.05,8.99,35.809312638580934,Low
180,20,Female,2nd Year,8.2,6.4,3.3,4,74,6,11.47,7.45,5.52,7.71,58.3148558758315,Moderate
181,22,Other,3rd Year,5.2,7.3,1.2,5,106,10,1.5,12.31,6.76,7.43,85.31042128603106,High
182,24,Other,2nd Year,6.4,9.2,2.5,4,64,7,7.65,8.12,6.27,10.37,61.08647450110865,Moderate
183,23,Male,2nd Year,5.1,9.8,1.1,2,48,7,14.12,10.94,8.65,9.46,55.43237250554325,Moderate
184,20,Female,2nd Year,8.9,8.6,1.2,2,46,6,5.2,17.67,5.24,8.3,49.94456762749447,Moderate
185,18,Male,3rd Year,8.7,11.5,3.7,2,51,4,3.42,17.83,7.78,7.77,54.434589800443476,Moderate
186,22,Female,4th Year,4.2,0.2,1.4,1,101,9,19.37,16.07,5.73,9.22,67.23946784922396,Moderate
187,19,Female,3rd Year,7.5,2.3,2.6,1,87,6,17.79,3.78,6.28,9.34,58.48115299334813,Moderate
188,24,Female,1st Year,8.6,0.1,2.2,4,53,4,17.46,11.05,6.66,7.83,29.9889135254989,Low
189,24,Female,3rd Year,4.9,7.8,2.0,2,59,3,7.48,7.32,8.63,10.41,49.94456762749447,Moderate
190,23,Female,3rd Year,6.8,10.8,3.7,1,56,4,9.34,15.07,5.97,7.34,56.20842572062086,Moderate
191,24,Other,3rd Year,8.6,2.9,1.1,0,46,3,9.0,13.85,5.37,8.42,33.48115299334812,Low
192,20,Male,3rd Year,4.2,11.1,3.0,4,30,2,2.24,19.49,6.27,9.72,37.86031042128603,Low
193,18,Other,4th Year,7.5,0.7,3.9,5,104,5,5.71,18.57,5.42,8.1,59.756097560975604,Moderate
194,24,Female,1st Year,5.5,11.2,2.7,3,45,2,19.31,5.45,5.51,10.31,47.117516629711744,Moderate
195,24,Male,4th Year,8.6,4.2,3.8,4,113,6,14.7,10.3,7.3,9.96,74.77827050997783,High
196,19,Female,4th Year,8.9,1.2,1.2,3,25,3,12.86,15.25,5.24,10.16,16.352549889135258,Low
197,19,Male,3rd Year,8.7,5.8,2.3,2,112,6,13.68,5.94,5.12,7.48,79.71175166297118,High
198,21,Other,2nd Year,6.4,3.1,1.8,3,113,10,7.94,17.07,7.86,7.56,80.65410199556541,High
199,22,Male,2nd Year,8.3,3.4,3.2,2,4,9,3.27,2.48,6.45,8.15,19.01330376940133,Low
200,20,Male,4th Year,8.2,3.7,3.9,0,83,1,15.57,15.1,5.5,9.07,50.88691796008871,Moderate
201,24,Male,4th Year,5.6,9.6,1.8,3,51,6,10.41,15.25,6.01,9.99,54.046563192904664,Moderate
202,25,Male,3rd Year,8.1,6.5,3.0,4,104,9,5.42,15.76,7.57,10.35,80.32150776053214,High
203,24,Male,4th Year,4.2,3.7,1.6,2,74,4,13.26,19.56,6.1,9.82,51.05321507760533,Moderate
204,18,Female,3rd Year,7.0,7.3,2.7,4,119,2,18.47,19.78,6.98,10.71,78.93569844789357,High
205,21,Male,2nd Year,5.2,8.6,2.4,1,53,4,12.03,9.04,5.49,9.95,50.38802660753882,Moderate
206,22,Male,2nd Year,4.6,3.3,3.9,2,32,1,20.84,4.5,7.35,8.23,20.620842572062088,Low
207,25,Other,1st Year,4.4,5.0,2.8,3,49,3,2.21,6.19,6.26,8.06,37.19512195121952,Low
208,21,Male,2nd Year,7.5,1.5,2.0,2,37,10,20.43,19.18,7.51,9.78,35.42128603104213,Low
209,23,Other,4th Year,5.7,2.2,1.3,4,26,9,12.79,11.09,8.23,7.77,28.492239467849224,Low
210,22,Female,2nd Year,7.6,8.2,1.5,0,97,10,10.87,19.89,7.45,7.37,84.92239467849224,High
211,24,Male,3rd Year,4.3,2.2,1.7,2,14,5,1.31,21.09,6.18,9.13,16.07538802660754,Low
212,24,Other,2nd Year,5.6,6.3,1.8,3,95,6,18.51,8.87,6.02,10.29,71.11973392461198,High
213,22,Other,1st Year,6.7,8.5,3.6,1,60,3,19.6,11.3,6.31,7.41,51.718403547671855,Moderate
214,24,Female,2nd Year,8.0,1.3,2.7,5,20,5,21.82,20.36,5.66,10.17,15.188470066518848,Low
215,20,Male,3rd Year,5.6,6.8,2.6,0,45,8,18.73,21.3,5.72,10.25,49.05764966740577,Moderate
216,22,Male,3rd Year,7.1,3.1,1.3,1,68,6,17.65,2.2,8.16,8.93,50.44345898004434,Moderate
217,21,Other,4th Year,8.4,11.6,3.6,2,5,4,8.76,21.4,6.54,7.23,29.212860310421284,Low
218,22,Male,2nd Year,7.1,5.8,3.2,4,37,2,17.39,13.11,6.74,7.7,29.878048780487802,Low
219,25,Other,3rd Year,5.2,9.7,1.2,4,61,9,21.57,11.91,7.38,9.83,64.57871396895789,Moderate
220,24,Male,1st Year,4.1,6.6,3.1,3,85,1,4.64,19.65,7.36,9.85,57.20620842572062,Moderate
221,20,Other,4th Year,8.4,0.5,2.6,4,61,1,14.32,18.62,5.27,10.59,30.09977827050998,Low
222,20,Male,1st Year,4.1,7.6,1.2,0,81,4,14.57,14.96,8.33,9.33,64.91130820399114,Moderate
223,23,Female,2nd Year,8.4,11.4,2.4,4,77,7,15.65,6.77,5.71,7.5,73.22616407982262,High
224,21,Male,2nd Year,6.6,7.2,2.5,3,73,1,1.52,11.86,7.89,7.49,52.21729490022173,Moderate
225,19,Male,2nd Year,8.7,9.8,1.5,5,45,9,18.43,9.24,8.09,9.88,55.21064301552108,Moderate
226,19,Female,4th Year,8.0,10.6,3.8,2,12,4,3.14,2.3,7.86,7.74,30.764966740576504,Low
227,22,Male,3rd Year,9.0,2.7,3.5,2,94,3,5.69,6.64,7.32,8.31,57.20620842572064,Moderate
228,23,Female,4th Year,5.8,2.5,3.0,4,93,1,20.39,13.31,5.06,8.95,52.05099778270511,Moderate
229,18,Male,1st Year,7.8,7.3,2.4,1,2,10,1.28,13.07,6.44,7.1,29.21286031042129,Low
230,22,Other,4th Year,6.0,4.9,2.2,2,93,4,16.3,9.62,7.42,8.0,63.91352549889137,Moderate
231,23,Other,1st Year,6.4,10.1,3.0,5,5,9,19.93,8.69,6.55,8.63,32.87139689578715,Low
232,21,Male,4th Year,7.1,10.8,2.6,4,92,10,4.58,11.99,8.45,8.12,85.08869179600889,High
233,21,Male,3rd Year,8.4,4.2,1.2,3,7,6,7.16,9.1,6.24,7.55,18.015521064301552,Low
234,21,Male,1st Year,8.9,2.8,2.5,5,43,6,9.04,21.53,6.17,9.91,33.03769401330377,Low
235,21,Other,2nd Year,7.8,9.4,3.4,4,108,1,18.72,13.41,6.06,10.25,75.44345898004435,High
